,Date,Ship to,seq01,seq02,seq03,seq04,seq05,seq06,seq07
0,2021-03-11,30043703,2.4222705,2.3919705,0.0,2.4072265,2.4543009999999996,2.4489331,2.4536653
0,2021-03-10,30043703,2.3919705,0.0,2.4072265,2.4543009999999996,2.4489331,2.4536653,2.4473087000000002
0,2021-03-09,30043703,0.0,2.4072265,2.4543009999999996,2.4489331,2.4536653,2.4473087000000002,2.3926062000000003
0,2021-03-08,30043703,2.4072265,2.4543009999999996,2.4489331,2.4536653,2.4473087000000002,2.3926062000000003,2.4375617999999997
0,2021-03-07,30043703,2.4543009999999996,2.4489331,2.4536653,2.4473087000000002,2.3926062000000003,2.4375617999999997,2.4335359
0,2021-03-06,30043703,2.4489331,2.4536653,2.4473087000000002,2.3926062000000003,2.4375617999999997,2.4335359,2.4413052000000004
0,2021-03-05,30043703,2.4536653,2.4473087000000002,2.3926062000000003,2.4375617999999997,2.4335359,2.4413052000000004,2.4357254
0,2021-03-04,30043703,2.4473087000000002,2.3926062000000003,2.4375617999999997,2.4335359,2.4413052000000004,2.4357254,2.4478031000000002
0,2021-03-03,30043703,2.3926062000000003,2.4375617999999997,2.4335359,2.4413052000000004,2.4357254,2.4478031000000002,2.4521467999999995
0,2021-03-02,30043703,2.4375617999999997,2.4335359,2.4413052000000004,2.4357254,2.4478031000000002,2.4521467999999995,2.4502751
0,2021-03-01,30043703,2.4335359,2.4413052000000004,2.4357254,2.4478031000000002,2.4521467999999995,2.4502751,2.4592803
0,2021-02-28,30043703,2.4413052000000004,2.4357254,2.4478031000000002,2.4521467999999995,2.4502751,2.4592803,2.4450132
0,2021-02-27,30043703,2.4357254,2.4478031000000002,2.4521467999999995,2.4502751,2.4592803,2.4450132,2.4720996
0,2021-02-26,30043703,2.4478031000000002,2.4521467999999995,2.4502751,2.4592803,2.4450132,2.4720996,2.4585387
0,2021-02-25,30043703,2.4521467999999995,2.4502751,2.4592803,2.4450132,2.4720996,2.4585387,2.4765845
0,2021-02-24,30043703,2.4502751,2.4592803,2.4450132,2.4720996,2.4585387,2.4765845,2.4510872999999997
0,2021-02-23,30043703,2.4592803,2.4450132,2.4720996,2.4585387,2.4765845,2.4510872999999997,2.442859
0,2021-02-22,30043703,2.4450132,2.4720996,2.4585387,2.4765845,2.4510872999999997,2.442859,2.4632709
0,2021-02-21,30043703,2.4720996,2.4585387,2.4765845,2.4510872999999997,2.442859,2.4632709,2.4796569
0,2021-02-20,30043703,2.4585387,2.4765845,2.4510872999999997,2.442859,2.4632709,2.4796569,2.4788094
0,2021-02-19,30043703,2.4765845,2.4510872999999997,2.442859,2.4632709,2.4796569,2.4788094,2.4658136
0,2021-02-18,30043703,2.4510872999999997,2.442859,2.4632709,2.4796569,2.4788094,2.4658136,2.489545
0,2021-02-17,30043703,2.442859,2.4632709,2.4796569,2.4788094,2.4658136,2.489545,2.4815639
